"URI","Title","RecordId","Authority","Degree","Deity","Denomination","Dynasty","Engraver","Era","Issuer","Maker","Manufacture","Material","Mint","Obverse Legend","Obverse Type","Object Type","Portrait","Reference","Region","Reverse Legend","Reverse Type","Year","Date Record Modified"
"http://numismatics.org/ocre/id/ric.3.ant.656A","RIC III Antoninus Pius 656A","ric.3.ant.656A","Antoninus Pius","","Bonus Eventus","Dupondius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P TR P COS III","Head of Antoninus Pius, radiate, left","Coin","Antoninus Pius","","Italy","BONO EVENTVI S C","Bonus Eventus, standing left, sacrificing over altar and holding corn-ears","140|144","2014-11-04T11:05:22.357Z"
"http://numismatics.org/ocre/id/ric.9.thes.33B","RIC IX Thessalonica 33B","ric.9.thes.33B","Valentinian II","","Victory","Solidus","","","","","","Struck","Gold","Thessalonica","D N THEODO-SIVS P F AVG","Bust of Theodosius I, pearl-diademed, draped and cuirassed, right","Coin","Theodosius I","","Macedonia","GLORIA-REIPVB","Two emperors seated facing, the one on right holding mappa in left hand; the two together holding globe. Behind, a Victory holding wreath in either hand, crowning both emperors. The emperors have left leg bare","378|383","2016-10-24T08:50:15Z"
"http://numismatics.org/ocre/id/ric.3.ant.656","RIC III Antoninus Pius 656","ric.3.ant.656","Antoninus Pius","","Annona","Dupondius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P TR P COS III","Head of Antoninus Pius, radiate, right","Coin","Antoninus Pius","","Italy","ANNONA AVG S C","Annona, draped, standing, front, head right, holding corn-ears in right hand downwards over modius and corn- ears left and cornucopiae, tip turned outwards, in left: at right, prow of ship.","140|144","2014-11-04T11:04:39.19Z"
"http://numismatics.org/ocre/id/ric.3.ant.655","RIC III Antoninus Pius 655","ric.3.ant.655","Antoninus Pius","","Victory","Sestertius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P TR P COS III","Head of Antoninus Pius, laureate, right","Coin","Antoninus Pius","","Italy","VICTORIA AVGVSTI S C","Victory, towered, flying left, holding wreath in both hands","140|144","2014-11-04T11:03:59.725Z"
"http://numismatics.org/ocre/id/ric.3.ant.653b","RIC III Antoninus Pius 653b","ric.3.ant.653b","Antoninus Pius","","Victory","Sestertius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P TR P COS III","Bust of Antoninus Pius, laureate, draped, right","Coin","Antoninus Pius","","Italy","VICTORIA AVG S C","Victory, winged, draped, standing, in quadriga galloping right, holding reins in both hands","140|144","2014-11-04T11:04:09.775Z"
"http://numismatics.org/ocre/id/ric.9.thes.2B","RIC IX Thessalonica 2B","ric.9.thes.2B","Valentinian I","","Victory","Solidus","","","","","","Struck","Gold","Thessalonica","D N VALEN-S P F AVG","Bust of Valens, pearl-diademed, draped and cuirassed, right","Coin","Valens","","Macedonia","RESTITVTOR-REIPVBLICAE","Emperor, head right, standing facing, holding labarum and Victory on globe","364|367","2017-07-21T16:55:58.49Z"
"http://numismatics.org/ocre/id/ric.3.ant.651b","RIC III Antoninus Pius 651b","ric.3.ant.651b","Antoninus Pius","","","Sestertius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P TR P COS III","Bust of Antoninus Pius, laureate, draped, right","Coin","Antoninus Pius","","Italy","VENERI FELICI S C","Front view of decastyle temple with statues on roof and in pediment","140|144","2014-11-04T11:02:34.044Z"
"http://numismatics.org/ocre/id/ric.5.gall(2).216","RIC V Gallienus 216","ric.5.gall(2).216","Gallienus","","Jupiter","Antoninianus","","","","","","Struck","Silver","Rome","GALLIENVS AVG","Bust of Gallienus, radiate, cuirassed, right | Head of Gallienus, radiate, right","Coin","Gallienus","","Italy","IOVIS STATOR","Jupiter, nude, standing, holding sceptre in right hand and thunderbolt in left hand","260|268","2015-06-10T14:22:00Z"
"http://numismatics.org/ocre/id/ric.3.ant.650","RIC III Antoninus Pius 650","ric.3.ant.650","Antoninus Pius","","","Sestertius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P","Head of Antoninus Pius, laureate, right","Coin","Antoninus Pius","","Italy","TR POT COS III S C","She-wolf, suckling the twins, standing right under grotto","140|144","2014-11-04T11:03:16.567Z"
"http://numismatics.org/ocre/id/ric.3.ant.648","RIC III Antoninus Pius 648","ric.3.ant.648","Antoninus Pius","","","Sestertius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P","Head of Antoninus Pius, laureate, right","Coin","Antoninus Pius","","Italy","TR POT COS III S C","She-wolf, suckling the twins, standing right","140|144","2014-11-04T11:05:27.291Z"
"http://numismatics.org/ocre/id/ric.3.ant.647","RIC III Antoninus Pius 647","ric.3.ant.647","Antoninus Pius","","Providentia","Sestertius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P","Head of Antoninus Pius, laureate, right","Coin","Antoninus Pius","","Italy","TR POT COS III S C","Providentia, standing left","140|144","2014-11-04T11:04:59.62Z"
"http://numismatics.org/ocre/id/ric.3.ant.645","RIC III Antoninus Pius 645","ric.3.ant.645","Antoninus Pius","","Romulus","Sestertius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P","Head of Antoninus Pius, laureate, right","Coin","Antoninus Pius","","Italy","TR POT COS III S C","Romulus, bare-headed, in military dress, advancing right, holding transverse spear in right hand and trophy over left shoulder in left","140|144","2014-11-04T11:04:10.341Z"
"http://numismatics.org/ocre/id/ric.6.anch.144","RIC VI Antioch 144","ric.6.anch.144","Maximinus Daia","","Sol","AE2","","","","","","Struck","Bronze","Antioch","MAXIMIANVS P F AVG","Bust of Galerius, helmeted, cuirassed, left, holding spear over right shoulder and decorated shield on left arm","Coin","Galerius","","Syria","SOLE IN-VICTAE","Sol, radiate, draped, standing front in quadriga, head left, raising right hand; leading the quadriga, two horses turning left and two horses turning right","310","2016-06-24T16:33:00Z"
"http://numismatics.org/ocre/id/ric.9.sis.24B","RIC IX Siscia 24B","ric.9.sis.24B","Valentinian II","","","Siliqua","","","","","","Struck","Silver","Siscia","D N THEODO-SIVS P F AVG","Bust of Theodosius I, pearl-diademed, draped and cuirassed, right","Coin","Theodosius I","","Pannonia","","VOT/V/MVLT/X within laurel wreath","378|383","2016-10-24T08:48:59Z"
"http://numismatics.org/ocre/id/ric.2.hdn.969g","RIC II Hadrian 969g","ric.2.hdn.969g","Hadrian","","Fortuna","Sestertius","","","","","","Struck","Bronze","Rome","HADRIANVS AVGVSTVS P P","Bust of Hadrian, laureate, left with aegis","Coin","Hadrian","","Italy","FORT RED COS III S C","Fortuna, draped, seated left on throne, holding rudder on globe in right hand and cornucopiae in left","128|132","2017-07-17T15:39:51Z"
